model,dataset,epsilon,margin,sensitivity,specificity,false_positive_rate,false_negative_rate,coverage_rate,abstention_rate,num_cases,notes
quadratic,"synthetic_quadratic(n=20,kappa=30)",0.5,2.0,1.0,1.0,0.0,0.0,1.0,0.0,36,tp=27 tn=9 fp=0 fn=0 abst=0
quadratic,"synthetic_quadratic(n=20,kappa=30)",1.0,1.0,0.3333333333333333,1.0,0.0,0.6666666666666666,1.0,0.0,36,tp=9 tn=9 fp=0 fn=18 abst=0
quadratic,"synthetic_quadratic(n=20,kappa=30)",1.0,1.05,0.64,1.0,0.0,0.36,0.9444444444444444,0.05555555555555555,36,tp=16 tn=9 fp=0 fn=9 abst=2
quadratic,"synthetic_quadratic(n=20,kappa=30)",1.0,1.1,1.0,1.0,0.0,0.0,0.9444444444444444,0.05555555555555555,36,tp=25 tn=9 fp=0 fn=0 abst=2
quadratic,"synthetic_quadratic(n=20,kappa=30)",1.0,1.25,1.0,1.0,0.0,0.0,1.0,0.0,36,tp=27 tn=9 fp=0 fn=0 abst=0
quadratic,"synthetic_quadratic(n=20,kappa=30)",1.0,1.5,1.0,1.0,0.0,0.0,1.0,0.0,36,tp=27 tn=9 fp=0 fn=0 abst=0
quadratic,"synthetic_quadratic(n=20,kappa=30)",1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,36,tp=27 tn=9 fp=0 fn=0 abst=0
resnet18,real CIFAR-10 train split (first 256 images),0.001,1.0,1.0,1.0,0.0,0.0,1.0,0.0,12,tp=9 tn=3 fp=0 fn=0 abst=0
resnet18,real CIFAR-10 train split (first 256 images),0.001,1.05,1.0,1.0,0.0,0.0,1.0,0.0,12,tp=9 tn=3 fp=0 fn=0 abst=0
resnet18,real CIFAR-10 train split (first 256 images),0.001,1.1,1.0,1.0,0.0,0.0,1.0,0.0,12,tp=9 tn=3 fp=0 fn=0 abst=0
resnet18,real CIFAR-10 train split (first 256 images),0.001,1.25,1.0,1.0,0.0,0.0,1.0,0.0,12,tp=9 tn=3 fp=0 fn=0 abst=0
resnet18,real CIFAR-10 train split (first 256 images),0.001,1.5,1.0,1.0,0.0,0.0,1.0,0.0,12,tp=9 tn=3 fp=0 fn=0 abst=0
resnet18,real CIFAR-10 train split (first 256 images),0.001,2.0,1.0,1.0,0.0,0.0,1.0,0.0,12,tp=9 tn=3 fp=0 fn=0 abst=0
resnet18,real CIFAR-10 train split (first 256 images),0.005,1.0,1.0,1.0,0.0,0.0,1.0,0.0,12,tp=9 tn=3 fp=0 fn=0 abst=0
resnet18,real CIFAR-10 train split (first 256 images),0.005,1.05,1.0,1.0,0.0,0.0,1.0,0.0,12,tp=9 tn=3 fp=0 fn=0 abst=0
resnet18,real CIFAR-10 train split (first 256 images),0.005,1.1,1.0,1.0,0.0,0.0,1.0,0.0,12,tp=9 tn=3 fp=0 fn=0 abst=0
resnet18,real CIFAR-10 train split (first 256 images),0.005,1.25,1.0,1.0,0.0,0.0,1.0,0.0,12,tp=9 tn=3 fp=0 fn=0 abst=0
resnet18,real CIFAR-10 train split (first 256 images),0.005,1.5,1.0,1.0,0.0,0.0,1.0,0.0,12,tp=9 tn=3 fp=0 fn=0 abst=0
resnet18,real CIFAR-10 train split (first 256 images),0.005,2.0,1.0,1.0,0.0,0.0,1.0,0.0,12,tp=9 tn=3 fp=0 fn=0 abst=0
resnet18,real CIFAR-10 train split (first 256 images),0.01,1.0,1.0,1.0,0.0,0.0,1.0,0.0,12,tp=9 tn=3 fp=0 fn=0 abst=0
resnet18,real CIFAR-10 train split (first 256 images),0.01,1.05,1.0,1.0,0.0,0.0,1.0,0.0,12,tp=9 tn=3 fp=0 fn=0 abst=0
resnet18,real CIFAR-10 train split (first 256 images),0.01,1.1,1.0,1.0,0.0,0.0,1.0,0.0,12,tp=9 tn=3 fp=0 fn=0 abst=0
resnet18,real CIFAR-10 train split (first 256 images),0.01,1.25,1.0,1.0,0.0,0.0,1.0,0.0,12,tp=9 tn=3 fp=0 fn=0 abst=0
resnet18,real CIFAR-10 train split (first 256 images),0.01,1.5,1.0,1.0,0.0,0.0,1.0,0.0,12,tp=9 tn=3 fp=0 fn=0 abst=0
resnet18,real CIFAR-10 train split (first 256 images),0.01,2.0,1.0,1.0,0.0,0.0,1.0,0.0,12,tp=9 tn=3 fp=0 fn=0 abst=0
resnet18,real CIFAR-10 train split (first 256 images),0.05,1.0,1.0,1.0,0.0,0.0,1.0,0.0,12,tp=9 tn=3 fp=0 fn=0 abst=0
resnet18,real CIFAR-10 train split (first 256 images),0.05,1.05,1.0,1.0,0.0,0.0,1.0,0.0,12,tp=9 tn=3 fp=0 fn=0 abst=0
resnet18,real CIFAR-10 train split (first 256 images),0.05,1.1,1.0,1.0,0.0,0.0,1.0,0.0,12,tp=9 tn=3 fp=0 fn=0 abst=0
resnet18,real CIFAR-10 train split (first 256 images),0.05,1.25,1.0,1.0,0.0,0.0,1.0,0.0,12,tp=9 tn=3 fp=0 fn=0 abst=0
resnet18,real CIFAR-10 train split (first 256 images),0.05,1.5,1.0,1.0,0.0,0.0,1.0,0.0,12,tp=9 tn=3 fp=0 fn=0 abst=0
resnet18,real CIFAR-10 train split (first 256 images),0.05,2.0,1.0,1.0,0.0,0.0,1.0,0.0,12,tp=9 tn=3 fp=0 fn=0 abst=0
resnet18,real CIFAR-10 train split (first 256 images),0.1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,12,tp=9 tn=3 fp=0 fn=0 abst=0
resnet18,real CIFAR-10 train split (first 256 images),0.1,1.05,1.0,1.0,0.0,0.0,1.0,0.0,12,tp=9 tn=3 fp=0 fn=0 abst=0
resnet18,real CIFAR-10 train split (first 256 images),0.1,1.1,1.0,1.0,0.0,0.0,1.0,0.0,12,tp=9 tn=3 fp=0 fn=0 abst=0
